material_id,material_name,category,unit,criticality,standard_cost,sales_price,daily_consumption,safety_stock_days,shelf_life_days,active,updated_at
MAT-0033,传感器-0033,传感器,PCS,C,147.59,227.43,701,5,1825,1,2026-06-15T04:00:00+08:00
MAT-0034,结构件-0034,结构件,PCS,C,39.35,60.86,691,5,1825,1,2026-06-15T00:30:00+08:00
MAT-0035,连接器-0035,连接器,PCS,C,10.25,12.86,146,5,1825,1,2026-06-14T11:19:00+08:00
MAT-0036,传感器-0036,传感器,PCS,C,95.51,175.14,671,5,365,1,2026-06-14T11:44:00+08:00
MAT-0037,功率模块-0037,功率模块,PCS,B,565.27,978.38,388,9,365,1,2026-06-14T15:59:00+08:00
MAT-0038,功率模块-0038,功率模块,PCS,B,500.81,878.01,732,9,1095,1,2026-06-14T11:36:00+08:00
MAT-0039,功率模块-0039,功率模块,PCS,C,914.27,1149.23,459,5,1095,1,2026-06-15T00:56:00+08:00
MAT-0040,化工辅料-0040,化工辅料,KG,B,23.46,32.89,227,9,1825,1,2026-06-14T20:22:00+08:00
MAT-0041,控制芯片-0041,控制芯片,PCS,C,346.11,630.64,477,5,1825,1,2026-06-14T14:55:00+08:00
MAT-0042,电机组件-0042,电机组件,PCS,A,447.13,595.94,1732,14,1095,1,2026-06-14T08:18:00+08:00
MAT-0043,控制芯片-0043,控制芯片,PCS,C,270.5,444.76,304,5,730,1,2026-06-14T14:59:00+08:00
MAT-0044,连接器-0044,连接器,PCS,A,14.35,18.64,146,14,1825,1,2026-06-15T06:08:00+08:00
MAT-0045,连接器-0045,连接器,PCS,C,22.0,30.95,202,5,1825,1,2026-06-15T03:10:00+08:00
MAT-0046,功率模块-0046,功率模块,PCS,A,1080.22,1588.14,592,14,1825,1,2026-06-15T03:30:00+08:00
MAT-0047,控制芯片-0047,控制芯片,PCS,B,413.44,560.66,551,9,365,1,2026-06-14T10:20:00+08:00
MAT-0048,包装材料-0048,包装材料,SET,C,15.8,21.77,655,5,1095,1,2026-06-15T00:07:00+08:00
MAT-0049,包装材料-0049,包装材料,SET,C,3.78,6.78,656,5,730,1,2026-06-15T01:03:00+08:00
MAT-0050,功率模块-0050,功率模块,PCS,A,599.47,802.52,1090,14,1095,1,2026-06-14T13:36:00+08:00
MAT-0051,化工辅料-0051,化工辅料,KG,C,45.08,77.2,444,5,1825,1,2026-06-14T08:01:00+08:00
MAT-0052,传感器-0052,传感器,PCS,C,80.81,139.52,822,5,730,1,2026-06-15T07:49:00+08:00
MAT-0053,连接器-0053,连接器,PCS,C,28.19,44.98,356,5,1095,1,2026-06-14T14:32:00+08:00
MAT-0054,功率模块-0054,功率模块,PCS,C,658.09,1136.25,134,5,1825,1,2026-06-14T12:35:00+08:00
MAT-0055,电机组件-0055,电机组件,PCS,C,487.14,640.48,681,5,365,1,2026-06-14T21:35:00+08:00
MAT-0056,传感器-0056,传感器,PCS,B,296.98,536.82,864,9,1825,1,2026-06-14T19:24:00+08:00
MAT-0057,结构件-0057,结构件,PCS,B,137.52,180.93,831,9,1095,1,2026-06-14T23:16:00+08:00
MAT-0058,功率模块-0058,功率模块,PCS,B,485.32,734.51,843,9,730,1,2026-06-14T15:43:00+08:00
MAT-0059,电机组件-0059,电机组件,PCS,A,744.15,1295.14,996,14,1095,1,2026-06-14T13:54:00+08:00
MAT-0060,控制芯片-0060,控制芯片,PCS,B,481.55,719.95,731,9,1825,1,2026-06-14T19:16:00+08:00
MAT-0061,传感器-0061,传感器,PCS,B,308.6,463.86,352,9,730,1,2026-06-15T07:25:00+08:00
MAT-0062,功率模块-0062,功率模块,PCS,B,912.33,1479.59,53,9,1825,1,2026-06-14T19:07:00+08:00
MAT-0063,化工辅料-0063,化工辅料,KG,B,94.79,140.64,641,9,730,1,2026-06-14T13:01:00+08:00
MAT-0064,结构件-0064,结构件,PCS,B,99.12,176.29,448,9,730,1,2026-06-14T11:11:00+08:00
MAT-0065,控制芯片-0065,控制芯片,PCS,C,365.72,472.18,411,5,730,1,2026-06-15T04:16:00+08:00
MAT-0066,结构件-0066,结构件,PCS,B,154.55,269.59,690,9,1825,1,2026-06-15T07:57:00+08:00
MAT-0067,化工辅料-0067,化工辅料,KG,B,57.07,102.34,601,9,1095,1,2026-06-14T11:44:00+08:00
MAT-0068,结构件-0068,结构件,PCS,B,110.19,159.6,553,9,365,1,2026-06-15T05:48:00+08:00
MAT-0069,功率模块-0069,功率模块,PCS,C,453.03,717.54,96,5,1095,1,2026-06-14T14:34:00+08:00
MAT-0070,传感器-0070,传感器,PCS,C,120.93,161.08,831,5,365,1,2026-06-14T14:22:00+08:00
MAT-0071,连接器-0071,连接器,PCS,A,26.19,47.93,56,14,730,1,2026-06-14T18:22:00+08:00
MAT-0072,功率模块-0072,功率模块,PCS,B,868.52,1286.96,32,9,1825,1,2026-06-15T04:49:00+08:00
MAT-0073,连接器-0073,连接器,PCS,B,20.7,31.88,47,9,365,1,2026-06-15T05:38:00+08:00
MAT-0074,包装材料-0074,包装材料,SET,A,15.51,28.31,132,14,1095,1,2026-06-14T16:36:00+08:00
MAT-0075,传感器-0075,传感器,PCS,C,202.89,325.74,173,5,1825,1,2026-06-14T13:00:00+08:00
MAT-0076,传感器-0076,传感器,PCS,C,248.81,433.55,281,5,1095,1,2026-06-14T15:36:00+08:00
MAT-0077,连接器-0077,连接器,PCS,C,5.43,9.04,343,5,730,1,2026-06-14T14:47:00+08:00
MAT-0078,结构件-0078,结构件,PCS,B,213.52,336.3,893,9,1825,1,2026-06-15T03:53:00+08:00
MAT-0079,连接器-0079,连接器,PCS,B,39.98,56.21,790,9,365,1,2026-06-15T06:03:00+08:00
MAT-0080,结构件-0080,结构件,PCS,C,199.37,279.14,817,5,730,1,2026-06-14T12:13:00+08:00
MAT-0081,控制芯片-0081,控制芯片,PCS,A,523.81,825.78,1386,14,730,1,2026-06-15T06:21:00+08:00
MAT-0082,控制芯片-0082,控制芯片,PCS,C,314.76,576.68,545,5,730,1,2026-06-14T19:49:00+08:00
MAT-0083,传感器-0083,传感器,PCS,B,246.81,411.03,43,9,365,1,2026-06-14T13:14:00+08:00
MAT-0084,电机组件-0084,电机组件,PCS,B,365.75,618.86,71,9,365,1,2026-06-15T05:00:00+08:00
MAT-0085,控制芯片-0085,控制芯片,PCS,B,455.67,768.39,300,9,365,1,2026-06-14T10:06:00+08:00
MAT-0086,传感器-0086,传感器,PCS,B,94.14,145.42,302,9,730,1,2026-06-14T22:12:00+08:00
MAT-0087,化工辅料-0087,化工辅料,KG,B,36.24,65.17,651,9,1825,1,2026-06-14T08:20:00+08:00
MAT-0088,控制芯片-0088,控制芯片,PCS,A,447.49,673.52,886,14,1825,1,2026-06-14T17:10:00+08:00
MAT-0089,功率模块-0089,功率模块,PCS,A,219.98,346.74,730,14,1825,1,2026-06-14T19:15:00+08:00
MAT-0090,连接器-0090,连接器,PCS,C,3.74,5.2,700,5,365,1,2026-06-14T09:31:00+08:00
MAT-0091,传感器-0091,传感器,PCS,C,65.05,101.65,551,5,1825,1,2026-06-15T03:32:00+08:00
MAT-0092,电机组件-0092,电机组件,PCS,C,152.17,250.76,573,5,1825,1,2026-06-14T11:12:00+08:00
MAT-0093,功率模块-0093,功率模块,PCS,C,911.12,1636.48,644,5,1095,1,2026-06-14T08:09:00+08:00
MAT-0094,传感器-0094,传感器,PCS,B,182.84,272.91,345,9,1825,1,2026-06-15T01:27:00+08:00
MAT-0095,传感器-0095,传感器,PCS,B,323.1,443.17,630,9,1095,1,2026-06-14T16:02:00+08:00
MAT-0096,传感器-0096,传感器,PCS,C,248.33,380.31,168,5,730,1,2026-06-14T18:23:00+08:00
MAT-0097,电机组件-0097,电机组件,PCS,B,767.52,1079.05,883,9,730,1,2026-06-14T21:40:00+08:00
MAT-0098,化工辅料-0098,化工辅料,KG,B,86.69,120.82,710,9,365,1,2026-06-15T07:25:00+08:00
MAT-0099,连接器-0099,连接器,PCS,C,40.49,61.53,597,5,1095,1,2026-06-14T21:13:00+08:00
MAT-0100,控制芯片-0100,控制芯片,PCS,B,282.58,434.38,416,9,1095,1,2026-06-14T15:23:00+08:00
MAT-0101,电机组件-0101,电机组件,PCS,C,356.23,616.87,36,5,1095,1,2026-06-14T11:54:00+08:00
MAT-0102,连接器-0102,连接器,PCS,C,41.49,75.0,55,5,365,1,2026-06-14T15:48:00+08:00
MAT-0103,功率模块-0103,功率模块,PCS,B,621.11,976.96,331,9,1825,1,2026-06-14T16:08:00+08:00
MAT-0104,电机组件-0104,电机组件,PCS,B,728.18,1026.09,194,9,1825,1,2026-06-14T16:36:00+08:00
MAT-0105,控制芯片-0105,控制芯片,PCS,B,600.14,761.14,562,9,365,1,2026-06-14T18:06:00+08:00
MAT-0106,功率模块-0106,功率模块,PCS,A,608.12,1096.69,300,14,365,1,2026-06-14T21:43:00+08:00
MAT-0107,功率模块-0107,功率模块,PCS,B,341.98,615.28,769,9,1825,1,2026-06-14T19:13:00+08:00
MAT-0108,电机组件-0108,电机组件,PCS,B,248.6,456.51,821,9,365,1,2026-06-15T05:33:00+08:00
MAT-0109,化工辅料-0109,化工辅料,KG,C,32.36,52.14,445,5,1095,1,2026-06-15T01:39:00+08:00
MAT-0110,包装材料-0110,包装材料,SET,B,14.96,20.13,541,9,1095,1,2026-06-14T10:53:00+08:00
MAT-0111,连接器-0111,连接器,PCS,C,42.47,54.04,475,5,365,1,2026-06-15T01:49:00+08:00
MAT-0112,包装材料-0112,包装材料,SET,A,16.8,29.81,1304,14,365,1,2026-06-14T11:01:00+08:00
MAT-0113,结构件-0113,结构件,PCS,B,84.19,124.6,455,9,1095,1,2026-06-14T20:09:00+08:00
MAT-0114,传感器-0114,传感器,PCS,C,215.76,352.36,91,5,365,1,2026-06-14T11:12:00+08:00
MAT-0115,传感器-0115,传感器,PCS,A,348.34,446.65,1792,14,1095,1,2026-06-14T16:56:00+08:00
MAT-0116,结构件-0116,结构件,PCS,A,99.89,135.14,1558,14,365,1,2026-06-14T16:14:00+08:00
MAT-0117,控制芯片-0117,控制芯片,PCS,C,185.14,237.2,418,5,1825,1,2026-06-14T08:31:00+08:00
MAT-0118,控制芯片-0118,控制芯片,PCS,A,337.1,542.51,132,14,1095,1,2026-06-14T10:31:00+08:00
MAT-0119,包装材料-0119,包装材料,SET,B,2.36,3.98,237,9,730,1,2026-06-15T05:57:00+08:00
MAT-0120,连接器-0120,连接器,PCS,B,15.17,19.11,90,9,365,1,2026-06-14T10:55:00+08:00
MAT-0121,传感器-0121,传感器,PCS,A,160.35,271.48,746,14,730,1,2026-06-14T23:58:00+08:00
MAT-0122,化工辅料-0122,化工辅料,KG,B,77.46,134.51,450,9,1095,1,2026-06-15T05:36:00+08:00
MAT-0123,传感器-0123,传感器,PCS,B,125.96,181.39,440,9,730,1,2026-06-14T22:36:00+08:00
MAT-0124,控制芯片-0124,控制芯片,PCS,B,449.98,809.07,227,9,1095,1,2026-06-15T00:05:00+08:00
MAT-0125,电机组件-0125,电机组件,PCS,B,797.63,1303.61,79,9,365,1,2026-06-14T22:02:00+08:00
MAT-0126,功率模块-0126,功率模块,PCS,C,431.48,602.32,155,5,1095,1,2026-06-15T04:49:00+08:00
MAT-0127,功率模块-0127,功率模块,PCS,B,903.9,1259.52,59,9,365,1,2026-06-15T07:03:00+08:00
MAT-0128,连接器-0128,连接器,PCS,A,42.7,68.47,1650,14,730,1,2026-06-14T14:50:00+08:00
MAT-0129,控制芯片-0129,控制芯片,PCS,B,472.38,599.26,874,9,1095,1,2026-06-15T03:30:00+08:00
MAT-0130,控制芯片-0130,控制芯片,PCS,C,507.15,926.13,563,5,730,1,2026-06-14T18:14:00+08:00
MAT-0131,功率模块-0131,功率模块,PCS,B,492.45,728.9,870,9,1825,1,2026-06-14T21:39:00+08:00
MAT-0132,化工辅料-0132,化工辅料,KG,B,39.22,51.41,300,9,730,1,2026-06-14T13:31:00+08:00
MAT-0133,化工辅料-0133,化工辅料,KG,B,46.05,59.49,380,9,365,1,2026-06-15T03:08:00+08:00
MAT-0134,结构件-0134,结构件,PCS,B,209.34,351.8,505,9,365,1,2026-06-15T03:08:00+08:00
MAT-0135,连接器-0135,连接器,PCS,C,33.28,58.61,525,5,1095,1,2026-06-15T00:36:00+08:00
MAT-0136,电机组件-0136,电机组件,PCS,B,690.84,1155.38,768,9,365,1,2026-06-15T07:36:00+08:00
MAT-0137,功率模块-0137,功率模块,PCS,C,993.56,1732.18,96,5,365,1,2026-06-14T09:40:00+08:00
MAT-0138,控制芯片-0138,控制芯片,PCS,C,153.6,276.16,630,5,1095,1,2026-06-14T14:17:00+08:00
MAT-0139,结构件-0139,结构件,PCS,B,194.88,307.84,662,9,1095,1,2026-06-14T10:41:00+08:00
MAT-0140,传感器-0140,传感器,PCS,B,145.41,266.26,423,9,730,1,2026-06-14T22:17:00+08:00
MAT-0141,结构件-0141,结构件,PCS,B,199.43,259.83,200,9,1095,1,2026-06-14T23:18:00+08:00
MAT-0142,电机组件-0142,电机组件,PCS,B,388.32,688.71,306,9,1095,1,2026-06-15T06:39:00+08:00
MAT-0143,电机组件-0143,电机组件,PCS,C,930.89,1478.66,677,5,1095,1,2026-06-14T23:04:00+08:00
MAT-0144,包装材料-0144,包装材料,SET,C,11.29,18.48,264,5,1825,1,2026-06-15T07:59:00+08:00
MAT-0145,控制芯片-0145,控制芯片,PCS,C,89.41,119.68,669,5,1095,1,2026-06-14T17:09:00+08:00
MAT-0146,控制芯片-0146,控制芯片,PCS,B,506.1,792.3,787,9,365,1,2026-06-14T21:11:00+08:00
MAT-0147,功率模块-0147,功率模块,PCS,B,515.21,849.86,255,9,365,1,2026-06-14T22:24:00+08:00
MAT-0148,连接器-0148,连接器,PCS,C,6.48,9.57,880,5,1095,1,2026-06-15T07:41:00+08:00
MAT-0149,结构件-0149,结构件,PCS,B,175.18,317.53,55,9,1095,1,2026-06-15T07:47:00+08:00
MAT-0150,包装材料-0150,包装材料,SET,B,13.48,23.94,769,9,365,1,2026-06-14T18:29:00+08:00
MAT-0151,控制芯片-0151,控制芯片,PCS,C,135.38,177.39,313,5,730,1,2026-06-14T09:29:00+08:00
MAT-0152,控制芯片-0152,控制芯片,PCS,C,524.83,726.3,738,5,730,1,2026-06-14T12:29:00+08:00
MAT-0153,控制芯片-0153,控制芯片,PCS,B,308.49,419.02,286,9,365,1,2026-06-14T21:47:00+08:00
MAT-0154,化工辅料-0154,化工辅料,KG,C,85.69,112.51,683,5,1095,1,2026-06-15T03:37:00+08:00
MAT-0155,结构件-0155,结构件,PCS,C,101.07,135.74,482,5,1825,1,2026-06-14T21:54:00+08:00
MAT-0156,连接器-0156,连接器,PCS,A,16.48,25.95,1042,14,1825,1,2026-06-14T14:43:00+08:00
MAT-0157,传感器-0157,传感器,PCS,B,191.18,255.51,179,9,1825,1,2026-06-15T02:52:00+08:00
MAT-0158,结构件-0158,结构件,PCS,B,36.67,58.26,406,9,730,1,2026-06-14T12:56:00+08:00
MAT-0159,包装材料-0159,包装材料,SET,B,14.62,26.57,776,9,730,1,2026-06-15T04:39:00+08:00
MAT-0160,传感器-0160,传感器,PCS,C,299.36,443.87,247,5,730,1,2026-06-14T08:37:00+08:00
MAT-0161,功率模块-0161,功率模块,PCS,B,433.3,691.65,872,9,1825,1,2026-06-15T03:33:00+08:00
MAT-0162,连接器-0162,连接器,PCS,B,41.94,75.17,576,9,730,1,2026-06-14T19:07:00+08:00
MAT-0163,控制芯片-0163,控制芯片,PCS,B,462.4,853.9,48,9,1095,1,2026-06-14T18:29:00+08:00
MAT-0164,电机组件-0164,电机组件,PCS,B,609.94,789.0,413,9,365,1,2026-06-15T03:30:00+08:00
MAT-0165,控制芯片-0165,控制芯片,PCS,B,317.87,586.33,518,9,730,1,2026-06-14T13:16:00+08:00
MAT-0166,控制芯片-0166,控制芯片,PCS,C,582.18,920.22,661,5,730,1,2026-06-15T03:10:00+08:00
MAT-0167,传感器-0167,传感器,PCS,A,86.62,136.57,640,14,365,1,2026-06-15T07:41:00+08:00
MAT-0168,控制芯片-0168,控制芯片,PCS,C,490.26,829.65,52,5,730,1,2026-06-14T12:47:00+08:00
MAT-0169,化工辅料-0169,化工辅料,KG,C,37.41,61.95,771,5,730,1,2026-06-15T06:07:00+08:00
MAT-0170,结构件-0170,结构件,PCS,C,187.94,267.7,284,5,730,1,2026-06-14T08:28:00+08:00
MAT-0171,功率模块-0171,功率模块,PCS,B,1091.83,1664.26,651,9,1095,1,2026-06-15T02:51:00+08:00
MAT-0172,控制芯片-0172,控制芯片,PCS,B,561.85,756.02,712,9,1825,1,2026-06-15T05:47:00+08:00
MAT-0173,电机组件-0173,电机组件,PCS,C,777.01,1325.07,741,5,730,1,2026-06-15T00:14:00+08:00
MAT-0174,包装材料-0174,包装材料,SET,C,4.39,8.1,529,5,1825,1,2026-06-14T08:57:00+08:00
MAT-0175,控制芯片-0175,控制芯片,PCS,C,464.71,759.96,803,5,365,1,2026-06-14T13:43:00+08:00
MAT-0176,功率模块-0176,功率模块,PCS,C,897.76,1635.61,505,5,365,1,2026-06-15T02:10:00+08:00
MAT-0177,控制芯片-0177,控制芯片,PCS,B,573.02,894.58,33,9,730,1,2026-06-14T15:31:00+08:00
MAT-0178,传感器-0178,传感器,PCS,B,349.25,614.92,131,9,730,1,2026-06-14T14:34:00+08:00
MAT-0179,控制芯片-0179,控制芯片,PCS,A,556.76,861.86,840,14,1825,1,2026-06-14T21:33:00+08:00
MAT-0180,传感器-0180,传感器,PCS,C,152.18,214.0,887,5,365,1,2026-06-14T12:48:00+08:00
MAT-0181,传感器-0181,传感器,PCS,C,210.02,281.33,485,5,1825,1,2026-06-15T06:44:00+08:00
MAT-0182,电机组件-0182,电机组件,PCS,C,338.88,427.06,466,5,1825,1,2026-06-14T12:33:00+08:00
MAT-0183,化工辅料-0183,化工辅料,KG,C,77.45,107.01,477,5,365,1,2026-06-14T10:58:00+08:00
MAT-0184,传感器-0184,传感器,PCS,A,259.45,465.3,1270,14,365,1,2026-06-15T01:33:00+08:00
MAT-0185,控制芯片-0185,控制芯片,PCS,B,518.24,689.19,658,9,1825,1,2026-06-14T23:49:00+08:00
MAT-0186,电机组件-0186,电机组件,PCS,B,390.93,692.89,110,9,730,1,2026-06-15T07:45:00+08:00
MAT-0187,连接器-0187,连接器,PCS,B,27.18,47.71,536,9,730,1,2026-06-14T23:16:00+08:00
MAT-0188,结构件-0188,结构件,PCS,B,85.78,142.7,479,9,365,1,2026-06-14T14:27:00+08:00
MAT-0189,功率模块-0189,功率模块,PCS,C,844.68,1492.47,267,5,1825,1,2026-06-15T05:01:00+08:00
MAT-0190,控制芯片-0190,控制芯片,PCS,A,151.75,244.72,226,14,1095,1,2026-06-14T17:40:00+08:00
MAT-0191,电机组件-0191,电机组件,PCS,C,307.48,454.71,514,5,1095,1,2026-06-14T08:40:00+08:00
MAT-0192,化工辅料-0192,化工辅料,KG,C,86.16,117.26,363,5,365,1,2026-06-14T20:53:00+08:00
MAT-0193,传感器-0193,传感器,PCS,B,147.13,256.77,101,9,1825,1,2026-06-14T20:09:00+08:00
MAT-0194,包装材料-0194,包装材料,SET,C,13.96,20.25,425,5,1825,1,2026-06-14T15:48:00+08:00
MAT-0195,包装材料-0195,包装材料,SET,C,1.37,1.88,690,5,1095,1,2026-06-14T23:24:00+08:00
MAT-0196,结构件-0196,结构件,PCS,C,71.07,112.47,767,5,1095,1,2026-06-15T03:55:00+08:00
MAT-0197,控制芯片-0197,控制芯片,PCS,B,351.73,568.48,248,9,365,1,2026-06-14T20:05:00+08:00
MAT-0198,包装材料-0198,包装材料,SET,B,17.52,23.57,191,9,1825,1,2026-06-15T05:52:00+08:00
MAT-0199,功率模块-0199,功率模块,PCS,B,519.1,670.86,214,9,730,1,2026-06-14T17:24:00+08:00
MAT-0200,控制芯片-0200,控制芯片,PCS,B,400.35,700.48,598,9,1825,1,2026-06-14T17:12:00+08:00
MAT-0201,电机组件-0201,电机组件,PCS,B,385.49,657.24,485,9,1825,1,2026-06-14T17:17:00+08:00
MAT-0202,功率模块-0202,功率模块,PCS,C,427.84,681.81,400,5,1825,1,2026-06-14T21:54:00+08:00
MAT-0203,控制芯片-0203,控制芯片,PCS,B,502.83,860.32,806,9,730,1,2026-06-14T08:31:00+08:00
MAT-0204,结构件-0204,结构件,PCS,C,185.62,266.57,297,5,365,1,2026-06-14T21:36:00+08:00
MAT-0205,电机组件-0205,电机组件,PCS,B,298.28,460.09,460,9,1095,1,2026-06-15T00:07:00+08:00
MAT-0206,结构件-0206,结构件,PCS,B,75.41,123.83,241,9,730,1,2026-06-14T21:36:00+08:00
MAT-0207,控制芯片-0207,控制芯片,PCS,B,257.9,390.8,556,9,365,1,2026-06-14T14:39:00+08:00
MAT-0208,控制芯片-0208,控制芯片,PCS,A,126.66,170.3,142,14,1825,1,2026-06-14T20:54:00+08:00
MAT-0209,功率模块-0209,功率模块,PCS,B,1016.51,1467.25,383,9,730,1,2026-06-14T19:53:00+08:00
MAT-0210,传感器-0210,传感器,PCS,C,61.61,100.14,787,5,365,1,2026-06-14T09:23:00+08:00
MAT-0211,电机组件-0211,电机组件,PCS,A,860.1,1329.96,1612,14,1095,1,2026-06-15T00:44:00+08:00
MAT-0212,传感器-0212,传感器,PCS,A,313.48,525.09,1458,14,730,1,2026-06-14T14:03:00+08:00
MAT-0213,功率模块-0213,功率模块,PCS,C,313.31,565.82,555,5,1825,1,2026-06-14T15:23:00+08:00
MAT-0214,功率模块-0214,功率模块,PCS,C,152.9,258.46,115,5,1095,1,2026-06-15T02:07:00+08:00
MAT-0215,传感器-0215,传感器,PCS,A,71.58,119.15,942,14,730,1,2026-06-15T03:51:00+08:00
MAT-0216,结构件-0216,结构件,PCS,B,120.11,217.29,586,9,1095,1,2026-06-14T15:39:00+08:00
MAT-0217,功率模块-0217,功率模块,PCS,C,283.44,496.94,521,5,1095,1,2026-06-14T17:18:00+08:00
MAT-0218,传感器-0218,传感器,PCS,B,154.04,209.16,502,9,1825,1,2026-06-15T07:51:00+08:00
MAT-0219,化工辅料-0219,化工辅料,KG,B,24.74,42.59,617,9,730,1,2026-06-14T11:32:00+08:00
MAT-0220,电机组件-0220,电机组件,PCS,B,263.26,444.84,615,9,365,1,2026-06-14T09:57:00+08:00
MAT-0221,传感器-0221,传感器,PCS,C,243.1,368.17,105,5,1825,1,2026-06-15T00:38:00+08:00
MAT-0222,功率模块-0222,功率模块,PCS,B,491.59,851.05,36,9,365,1,2026-06-14T19:49:00+08:00
MAT-0223,控制芯片-0223,控制芯片,PCS,B,512.87,912.72,154,9,365,1,2026-06-14T16:41:00+08:00
MAT-0224,功率模块-0224,功率模块,PCS,B,291.58,430.87,482,9,365,1,2026-06-14T19:06:00+08:00
MAT-0225,控制芯片-0225,控制芯片,PCS,A,664.28,886.32,1044,14,1825,1,2026-06-14T12:53:00+08:00
MAT-0226,传感器-0226,传感器,PCS,B,280.22,468.19,289,9,1825,1,2026-06-14T08:20:00+08:00
MAT-0227,电机组件-0227,电机组件,PCS,C,750.29,1125.06,871,5,365,1,2026-06-15T04:06:00+08:00
MAT-0228,包装材料-0228,包装材料,SET,C,7.86,13.89,367,5,1825,1,2026-06-14T21:03:00+08:00
MAT-0229,控制芯片-0229,控制芯片,PCS,B,335.06,425.62,574,9,1825,1,2026-06-15T06:45:00+08:00
MAT-0230,功率模块-0230,功率模块,PCS,C,890.27,1166.85,673,5,730,1,2026-06-14T13:11:00+08:00
MAT-0231,控制芯片-0231,控制芯片,PCS,B,293.15,437.36,845,9,365,1,2026-06-14T15:20:00+08:00
MAT-0232,电机组件-0232,电机组件,PCS,B,840.75,1470.34,27,9,1095,1,2026-06-15T05:55:00+08:00
MAT-0233,连接器-0233,连接器,PCS,C,27.04,40.83,816,5,730,1,2026-06-15T06:33:00+08:00
