case_id,event_id,scenario,selected_strategy,predicted_delay_hours,actual_delay_hours,predicted_cost,actual_cost,covered_demand_rate,production_downtime_hours,lost_orders,customer_complaints,outcome_status,human_rating,lessons_learned,model_version,parameter_version,created_at
CASE-000032,EVT-000232,供应商停产-天津-232,接受短期停线+控制现金成本,12,12,519022.25,329312.24,0.545,24,0,8,success,2,优先保障A级客户，并同时验证备用供应商产能、质量与运输可用性。,demo-rule-v1,expert-2026-06,2026-03-22T08:00:00+08:00
CASE-000033,EVT-000124,区域限电-上海-124,接受短期停线+控制现金成本,24,48,148900.56,1012827.12,0.7663,0,5,1,failed,3,优先保障A级客户，并同时验证备用供应商产能、质量与运输可用性。,demo-rule-v1,expert-2026-06,2025-10-17T08:00:00+08:00
CASE-000034,EVT-000087,区域限电-武汉-087,双供应商分单+安全库存锁定,48,42,827235.52,608169.04,0.885,12,0,4,failed,1,优先保障A级客户，并同时验证备用供应商产能、质量与运输可用性。,demo-rule-v1,expert-2026-06,2026-03-25T08:00:00+08:00
CASE-000035,EVT-000236,质量召回-苏州-236,库存重分配+客户分级沟通,12,12,140126.28,279687.67,0.8363,12,1,17,partial_success,4,优先保障A级客户，并同时验证备用供应商产能、质量与运输可用性。,demo-rule-v1,expert-2026-06,2026-05-30T08:00:00+08:00
CASE-000036,EVT-000102,运输节点中断-杭州-102,双供应商分单+安全库存锁定,6,30,54990.61,1164773.06,0.9295,4,1,6,partial_success,2,优先保障A级客户，并同时验证备用供应商产能、质量与运输可用性。,demo-rule-v1,expert-2026-06,2026-03-22T08:00:00+08:00
CASE-000037,EVT-000030,供应商停产-武汉-030,接受短期停线+控制现金成本,24,18,469187.29,600366.66,0.6155,8,0,12,success,5,优先保障A级客户，并同时验证备用供应商产能、质量与运输可用性。,demo-rule-v1,expert-2026-06,2025-07-28T08:00:00+08:00
CASE-000038,EVT-000189,需求突增-武汉-189,关键订单空运+备用供应商补货,36,30,500653.01,566789.64,0.9989,4,0,6,success,5,优先保障A级客户，并同时验证备用供应商产能、质量与运输可用性。,demo-rule-v1,expert-2026-06,2026-03-13T08:00:00+08:00
CASE-000039,EVT-000159,区域限电-合肥-159,双供应商分单+安全库存锁定,48,72,298500.6,409761.67,0.6155,48,2,9,partial_success,3,优先保障A级客户，并同时验证备用供应商产能、质量与运输可用性。,demo-rule-v1,expert-2026-06,2025-09-14T08:00:00+08:00
CASE-000040,EVT-000225,需求突增-苏州-225,关键订单空运+备用供应商补货,0,3,714561.72,885802.95,0.5296,24,2,4,partial_success,2,优先保障A级客户，并同时验证备用供应商产能、质量与运输可用性。,demo-rule-v1,expert-2026-06,2026-01-15T08:00:00+08:00
CASE-000041,EVT-000211,需求突增-杭州-211,接受短期停线+控制现金成本,0,12,535528.65,739631.23,0.7894,4,0,7,success,2,优先保障A级客户，并同时验证备用供应商产能、质量与运输可用性。,demo-rule-v1,expert-2026-06,2025-10-10T08:00:00+08:00
CASE-000042,EVT-000061,区域限电-成都-061,关键订单空运+备用供应商补货,72,72,253969.82,323984.14,0.9171,0,0,17,partial_success,2,优先保障A级客户，并同时验证备用供应商产能、质量与运输可用性。,demo-rule-v1,expert-2026-06,2025-10-16T08:00:00+08:00
CASE-000043,EVT-000115,区域限电-东莞-115,库存重分配+客户分级沟通,6,6,53669.81,813817.36,0.7599,48,5,14,partial_success,3,优先保障A级客户，并同时验证备用供应商产能、质量与运输可用性。,demo-rule-v1,expert-2026-06,2026-04-08T08:00:00+08:00
CASE-000044,EVT-000218,港口停运-青岛-218,紧急采购+生产计划调整,0,3,638467.4,157366.72,0.6749,0,2,3,partial_success,3,优先保障A级客户，并同时验证备用供应商产能、质量与运输可用性。,demo-rule-v1,expert-2026-06,2026-01-23T08:00:00+08:00
CASE-000045,EVT-000101,台风天气-成都-101,库存重分配+客户分级沟通,48,51,357757.45,929377.1,0.6438,0,3,11,success,3,优先保障A级客户，并同时验证备用供应商产能、质量与运输可用性。,demo-rule-v1,expert-2026-06,2026-03-24T08:00:00+08:00
CASE-000046,EVT-000220,海关查验延误-杭州-220,库存重分配+客户分级沟通,6,30,465136.85,932255.95,0.7438,24,5,5,success,5,优先保障A级客户，并同时验证备用供应商产能、质量与运输可用性。,demo-rule-v1,expert-2026-06,2025-08-06T08:00:00+08:00
CASE-000047,EVT-000145,供应商停产-苏州-145,紧急采购+生产计划调整,72,84,430363.59,985179.46,0.7329,0,1,18,success,3,优先保障A级客户，并同时验证备用供应商产能、质量与运输可用性。,demo-rule-v1,expert-2026-06,2026-05-28T08:00:00+08:00
CASE-000048,EVT-000198,供应商停产-青岛-198,关键订单空运+备用供应商补货,0,0,415282.82,98082.15,0.8686,48,3,0,success,2,优先保障A级客户，并同时验证备用供应商产能、质量与运输可用性。,demo-rule-v1,expert-2026-06,2025-10-07T08:00:00+08:00
CASE-000049,EVT-000161,区域限电-青岛-161,库存重分配+客户分级沟通,0,6,858169.63,34006.0,0.8256,12,3,16,failed,3,优先保障A级客户，并同时验证备用供应商产能、质量与运输可用性。,demo-rule-v1,expert-2026-06,2025-07-19T08:00:00+08:00
CASE-000050,EVT-000137,港口停运-青岛-137,双供应商分单+安全库存锁定,0,0,44083.09,144606.89,0.6468,0,0,15,success,5,优先保障A级客户，并同时验证备用供应商产能、质量与运输可用性。,demo-rule-v1,expert-2026-06,2025-10-12T08:00:00+08:00
CASE-000051,EVT-000155,海关查验延误-武汉-155,关键订单空运+备用供应商补货,24,36,421232.27,630183.6,0.9019,0,2,0,success,4,优先保障A级客户，并同时验证备用供应商产能、质量与运输可用性。,demo-rule-v1,expert-2026-06,2026-01-05T08:00:00+08:00
CASE-000052,EVT-000170,港口停运-青岛-170,双供应商分单+安全库存锁定,12,12,555139.38,317283.36,0.6968,8,5,17,success,2,优先保障A级客户，并同时验证备用供应商产能、质量与运输可用性。,demo-rule-v1,expert-2026-06,2025-07-27T08:00:00+08:00
CASE-000053,EVT-000070,港口停运-宁波-070,紧急采购+生产计划调整,72,72,331417.28,972774.18,0.9135,48,3,15,success,4,优先保障A级客户，并同时验证备用供应商产能、质量与运输可用性。,demo-rule-v1,expert-2026-06,2025-07-20T08:00:00+08:00
CASE-000054,EVT-000172,质量召回-天津-172,库存重分配+客户分级沟通,72,66,349285.83,295370.4,0.8511,8,0,13,partial_success,2,优先保障A级客户，并同时验证备用供应商产能、质量与运输可用性。,demo-rule-v1,expert-2026-06,2026-03-01T08:00:00+08:00
CASE-000055,EVT-000031,供应商停产-苏州-031,铁路替代+延期交付,6,6,369360.23,866130.53,0.7168,4,2,10,partial_success,4,优先保障A级客户，并同时验证备用供应商产能、质量与运输可用性。,demo-rule-v1,expert-2026-06,2026-01-27T08:00:00+08:00
CASE-000056,EVT-000050,海关查验延误-上海-050,双供应商分单+安全库存锁定,6,6,88924.14,886125.3,0.6948,0,5,6,partial_success,4,优先保障A级客户，并同时验证备用供应商产能、质量与运输可用性。,demo-rule-v1,expert-2026-06,2026-05-04T08:00:00+08:00
CASE-000057,EVT-000085,区域限电-东莞-085,紧急采购+生产计划调整,36,39,490919.62,146902.84,0.7114,0,5,7,success,5,优先保障A级客户，并同时验证备用供应商产能、质量与运输可用性。,demo-rule-v1,expert-2026-06,2025-11-25T08:00:00+08:00
CASE-000058,EVT-000005,区域限电-宁波-005,双供应商分单+安全库存锁定,6,30,572898.62,895167.17,0.9166,0,0,1,success,3,优先保障A级客户，并同时验证备用供应商产能、质量与运输可用性。,demo-rule-v1,expert-2026-06,2025-08-25T08:00:00+08:00
CASE-000059,EVT-000179,需求突增-青岛-179,接受短期停线+控制现金成本,6,18,632892.09,452638.79,0.9258,48,0,15,partial_success,2,优先保障A级客户，并同时验证备用供应商产能、质量与运输可用性。,demo-rule-v1,expert-2026-06,2025-07-22T08:00:00+08:00
CASE-000060,EVT-000233,需求突增-宁波-233,双供应商分单+安全库存锁定,0,6,706799.36,774685.15,0.615,4,0,0,success,3,优先保障A级客户，并同时验证备用供应商产能、质量与运输可用性。,demo-rule-v1,expert-2026-06,2026-06-03T08:00:00+08:00
CASE-000061,EVT-000163,区域限电-宁波-163,库存重分配+客户分级沟通,36,60,771522.37,918811.35,0.8564,24,0,9,success,3,优先保障A级客户，并同时验证备用供应商产能、质量与运输可用性。,demo-rule-v1,expert-2026-06,2025-06-21T08:00:00+08:00
CASE-000062,EVT-000140,海关查验延误-上海-140,库存重分配+客户分级沟通,72,78,715906.92,944614.46,0.6676,0,0,5,success,3,优先保障A级客户，并同时验证备用供应商产能、质量与运输可用性。,demo-rule-v1,expert-2026-06,2025-11-01T08:00:00+08:00
CASE-000063,EVT-000094,海关查验延误-苏州-094,紧急采购+生产计划调整,6,0,57096.71,903960.17,0.5951,12,2,0,success,3,优先保障A级客户，并同时验证备用供应商产能、质量与运输可用性。,demo-rule-v1,expert-2026-06,2025-10-10T08:00:00+08:00
CASE-000064,EVT-000035,质量召回-宁波-035,铁路替代+延期交付,72,75,635921.54,670282.69,0.8696,8,2,13,partial_success,5,优先保障A级客户，并同时验证备用供应商产能、质量与运输可用性。,demo-rule-v1,expert-2026-06,2025-11-20T08:00:00+08:00
CASE-000065,EVT-000226,海关查验延误-杭州-226,铁路替代+延期交付,0,24,425553.27,570764.19,0.5964,8,1,5,partial_success,5,优先保障A级客户，并同时验证备用供应商产能、质量与运输可用性。,demo-rule-v1,expert-2026-06,2026-03-24T08:00:00+08:00
CASE-000066,EVT-000210,台风天气-武汉-210,紧急采购+生产计划调整,36,36,832369.84,46591.55,0.8703,0,3,13,success,5,优先保障A级客户，并同时验证备用供应商产能、质量与运输可用性。,demo-rule-v1,expert-2026-06,2026-04-22T08:00:00+08:00
CASE-000067,EVT-000009,需求突增-成都-009,接受短期停线+控制现金成本,72,75,896117.5,827703.44,0.5214,0,5,12,partial_success,5,优先保障A级客户，并同时验证备用供应商产能、质量与运输可用性。,demo-rule-v1,expert-2026-06,2026-05-15T08:00:00+08:00
CASE-000068,EVT-000162,运输节点中断-天津-162,紧急采购+生产计划调整,12,36,825707.65,309307.02,0.6187,48,5,14,success,2,优先保障A级客户，并同时验证备用供应商产能、质量与运输可用性。,demo-rule-v1,expert-2026-06,2025-10-05T08:00:00+08:00
CASE-000069,EVT-000186,供应商停产-青岛-186,铁路替代+延期交付,36,42,89426.56,341698.3,0.7733,48,2,7,success,4,优先保障A级客户，并同时验证备用供应商产能、质量与运输可用性。,demo-rule-v1,expert-2026-06,2026-05-17T08:00:00+08:00
CASE-000070,EVT-000206,港口停运-成都-206,铁路替代+延期交付,24,24,446975.18,780469.08,0.6005,0,0,13,partial_success,2,优先保障A级客户，并同时验证备用供应商产能、质量与运输可用性。,demo-rule-v1,expert-2026-06,2025-11-12T08:00:00+08:00
CASE-000071,EVT-000178,区域限电-武汉-178,双供应商分单+安全库存锁定,12,12,714946.25,544127.95,0.6051,48,2,5,failed,2,优先保障A级客户，并同时验证备用供应商产能、质量与运输可用性。,demo-rule-v1,expert-2026-06,2026-04-18T08:00:00+08:00
CASE-000072,EVT-000221,运输节点中断-武汉-221,关键订单空运+备用供应商补货,48,72,242646.76,808460.23,0.9551,0,1,15,success,2,优先保障A级客户，并同时验证备用供应商产能、质量与运输可用性。,demo-rule-v1,expert-2026-06,2025-06-18T08:00:00+08:00
CASE-000073,EVT-000176,供应商停产-成都-176,铁路替代+延期交付,36,36,439159.97,131879.42,0.5341,0,0,4,success,5,优先保障A级客户，并同时验证备用供应商产能、质量与运输可用性。,demo-rule-v1,expert-2026-06,2025-12-25T08:00:00+08:00
CASE-000074,EVT-000130,海关查验延误-成都-130,关键订单空运+备用供应商补货,24,24,749862.99,28845.2,0.9865,12,0,11,success,4,优先保障A级客户，并同时验证备用供应商产能、质量与运输可用性。,demo-rule-v1,expert-2026-06,2026-02-04T08:00:00+08:00
CASE-000075,EVT-000234,质量召回-东莞-234,紧急采购+生产计划调整,48,48,527107.54,492718.85,0.8078,24,1,12,partial_success,2,优先保障A级客户，并同时验证备用供应商产能、质量与运输可用性。,demo-rule-v1,expert-2026-06,2025-11-06T08:00:00+08:00
CASE-000076,EVT-000131,需求突增-宁波-131,双供应商分单+安全库存锁定,0,3,746636.18,729178.23,0.7315,0,2,3,success,2,优先保障A级客户，并同时验证备用供应商产能、质量与运输可用性。,demo-rule-v1,expert-2026-06,2025-11-28T08:00:00+08:00
CASE-000077,EVT-000222,质量召回-青岛-222,铁路替代+延期交付,48,48,518426.39,504512.03,0.8457,0,3,7,partial_success,2,优先保障A级客户，并同时验证备用供应商产能、质量与运输可用性。,demo-rule-v1,expert-2026-06,2026-01-30T08:00:00+08:00
CASE-000078,EVT-000182,需求突增-天津-182,接受短期停线+控制现金成本,48,51,93077.54,962837.88,0.7311,24,1,9,success,4,优先保障A级客户，并同时验证备用供应商产能、质量与运输可用性。,demo-rule-v1,expert-2026-06,2025-11-23T08:00:00+08:00
CASE-000079,EVT-000021,运输节点中断-上海-021,关键订单空运+备用供应商补货,24,18,467676.24,742419.25,0.6688,24,1,2,failed,3,优先保障A级客户，并同时验证备用供应商产能、质量与运输可用性。,demo-rule-v1,expert-2026-06,2026-04-18T08:00:00+08:00
CASE-000080,EVT-000156,海关查验延误-东莞-156,双供应商分单+安全库存锁定,24,18,555681.52,400094.69,0.6473,24,0,10,partial_success,2,优先保障A级客户，并同时验证备用供应商产能、质量与运输可用性。,demo-rule-v1,expert-2026-06,2026-01-26T08:00:00+08:00
CASE-000081,EVT-000146,海关查验延误-合肥-146,紧急采购+生产计划调整,72,66,650641.91,632335.43,0.8253,0,0,1,partial_success,3,优先保障A级客户，并同时验证备用供应商产能、质量与运输可用性。,demo-rule-v1,expert-2026-06,2025-10-02T08:00:00+08:00
CASE-000082,EVT-000018,台风天气-东莞-018,紧急采购+生产计划调整,0,24,409224.2,130517.22,0.8756,0,2,16,failed,1,优先保障A级客户，并同时验证备用供应商产能、质量与运输可用性。,demo-rule-v1,expert-2026-06,2025-12-11T08:00:00+08:00
CASE-000083,EVT-000124,区域限电-上海-124,紧急采购+生产计划调整,0,6,714772.28,1199807.71,0.8937,4,1,9,failed,1,优先保障A级客户，并同时验证备用供应商产能、质量与运输可用性。,demo-rule-v1,expert-2026-06,2026-01-15T08:00:00+08:00
CASE-000084,EVT-000166,区域限电-成都-166,库存重分配+客户分级沟通,6,6,170989.64,585306.14,0.8371,4,3,5,success,5,优先保障A级客户，并同时验证备用供应商产能、质量与运输可用性。,demo-rule-v1,expert-2026-06,2025-08-23T08:00:00+08:00
CASE-000085,EVT-000041,海关查验延误-武汉-041,关键订单空运+备用供应商补货,48,51,659667.06,115532.7,0.6128,0,2,4,success,5,优先保障A级客户，并同时验证备用供应商产能、质量与运输可用性。,demo-rule-v1,expert-2026-06,2025-12-30T08:00:00+08:00
CASE-000086,EVT-000032,台风天气-成都-032,双供应商分单+安全库存锁定,48,48,615626.81,1097289.4,0.5272,48,0,16,failed,1,优先保障A级客户，并同时验证备用供应商产能、质量与运输可用性。,demo-rule-v1,expert-2026-06,2025-12-10T08:00:00+08:00
CASE-000087,EVT-000069,区域限电-苏州-069,铁路替代+延期交付,12,36,748769.26,502078.2,0.5992,0,3,4,success,5,优先保障A级客户，并同时验证备用供应商产能、质量与运输可用性。,demo-rule-v1,expert-2026-06,2025-09-24T08:00:00+08:00
CASE-000088,EVT-000103,区域限电-苏州-103,库存重分配+客户分级沟通,48,54,445722.64,819458.71,0.7475,4,1,5,failed,2,优先保障A级客户，并同时验证备用供应商产能、质量与运输可用性。,demo-rule-v1,expert-2026-06,2025-10-22T08:00:00+08:00
CASE-000089,EVT-000151,海关查验延误-成都-151,双供应商分单+安全库存锁定,48,48,356016.8,240720.39,0.9975,0,1,12,success,3,优先保障A级客户，并同时验证备用供应商产能、质量与运输可用性。,demo-rule-v1,expert-2026-06,2025-09-17T08:00:00+08:00
CASE-000090,EVT-000167,海关查验延误-上海-167,紧急采购+生产计划调整,48,42,846206.22,985376.14,0.9604,12,2,14,success,5,优先保障A级客户，并同时验证备用供应商产能、质量与运输可用性。,demo-rule-v1,expert-2026-06,2026-03-11T08:00:00+08:00
CASE-000091,EVT-000047,区域限电-杭州-047,铁路替代+延期交付,48,48,871571.99,579520.16,0.7549,0,0,9,success,2,优先保障A级客户，并同时验证备用供应商产能、质量与运输可用性。,demo-rule-v1,expert-2026-06,2025-10-20T08:00:00+08:00
CASE-000092,EVT-000030,供应商停产-武汉-030,关键订单空运+备用供应商补货,72,66,690536.75,792337.36,0.5369,0,5,6,partial_success,4,优先保障A级客户，并同时验证备用供应商产能、质量与运输可用性。,demo-rule-v1,expert-2026-06,2025-08-07T08:00:00+08:00
CASE-000093,EVT-000172,质量召回-天津-172,关键订单空运+备用供应商补货,48,42,715586.56,651880.4,0.9279,0,5,7,success,3,优先保障A级客户，并同时验证备用供应商产能、质量与运输可用性。,demo-rule-v1,expert-2026-06,2026-03-20T08:00:00+08:00
CASE-000094,EVT-000165,质量召回-青岛-165,关键订单空运+备用供应商补货,12,24,471019.17,1131047.18,0.9481,0,1,7,success,5,优先保障A级客户，并同时验证备用供应商产能、质量与运输可用性。,demo-rule-v1,expert-2026-06,2025-11-20T08:00:00+08:00
CASE-000095,EVT-000076,海关查验延误-青岛-076,接受短期停线+控制现金成本,48,60,747675.57,1182094.11,0.5735,0,0,18,success,5,优先保障A级客户，并同时验证备用供应商产能、质量与运输可用性。,demo-rule-v1,expert-2026-06,2026-03-13T08:00:00+08:00
CASE-000096,EVT-000034,区域限电-东莞-034,铁路替代+延期交付,36,48,899831.76,599851.15,0.5705,8,2,15,success,3,优先保障A级客户，并同时验证备用供应商产能、质量与运输可用性。,demo-rule-v1,expert-2026-06,2025-10-06T08:00:00+08:00
CASE-000097,EVT-000158,区域限电-青岛-158,紧急采购+生产计划调整,0,0,724067.99,1138931.82,0.6581,8,0,10,partial_success,4,优先保障A级客户，并同时验证备用供应商产能、质量与运输可用性。,demo-rule-v1,expert-2026-06,2025-10-05T08:00:00+08:00
CASE-000098,EVT-000033,运输节点中断-合肥-033,双供应商分单+安全库存锁定,12,15,118049.6,339014.56,0.7666,12,1,10,success,2,优先保障A级客户，并同时验证备用供应商产能、质量与运输可用性。,demo-rule-v1,expert-2026-06,2026-02-24T08:00:00+08:00
CASE-000099,EVT-000149,海关查验延误-上海-149,库存重分配+客户分级沟通,48,48,511219.75,415200.26,0.7604,12,0,0,success,5,优先保障A级客户，并同时验证备用供应商产能、质量与运输可用性。,demo-rule-v1,expert-2026-06,2026-02-03T08:00:00+08:00
CASE-000100,EVT-000240,运输节点中断-宁波-240,铁路替代+延期交付,0,0,413585.47,535122.42,0.5963,4,0,7,success,2,优先保障A级客户，并同时验证备用供应商产能、质量与运输可用性。,demo-rule-v1,expert-2026-06,2025-11-29T08:00:00+08:00
CASE-000101,EVT-000086,台风天气-天津-086,关键订单空运+备用供应商补货,0,6,310419.31,202921.24,0.8997,4,0,1,success,4,优先保障A级客户，并同时验证备用供应商产能、质量与运输可用性。,demo-rule-v1,expert-2026-06,2026-01-07T08:00:00+08:00
