event_id,event_type,event_title,severity,risk_score,location,affected_supplier_id,affected_material_id,affected_route,estimated_delay_hours,event_status,started_at,resolved_at,description,updated_at
EVT-000054,route_blockage,运输节点中断-成都-054,low,31,苏州,SUP-035,MAT-0098,合肥至宁波,12,resolved,2025-08-07T21:00:00+08:00,2025-08-16T04:00:00+08:00,运输节点中断影响供应商、物料和运输路线，需评估库存、订单与替代供应。,2025-08-08T19:00:00+08:00
EVT-000055,demand_surge,需求突增-成都-055,medium,67,合肥,SUP-036,MAT-0015,武汉至合肥,6,active,2025-09-20T15:00:00+08:00,2025-09-25T08:00:00+08:00,需求突增影响供应商、物料和运输路线，需评估库存、订单与替代供应。,2025-09-22T08:00:00+08:00
EVT-000056,route_blockage,运输节点中断-合肥-056,low,43,苏州,SUP-018,MAT-0185,成都至宁波,24,resolved,2025-10-07T11:00:00+08:00,2025-10-13T23:00:00+08:00,运输节点中断影响供应商、物料和运输路线，需评估库存、订单与替代供应。,2025-10-09T06:00:00+08:00
EVT-000057,power_shortage,区域限电-宁波-057,critical,97,成都,SUP-021,MAT-0086,上海至天津,6,active,2026-01-25T06:00:00+08:00,2026-02-02T14:00:00+08:00,区域限电影响供应商、物料和运输路线，需评估库存、订单与替代供应。,2026-01-27T00:00:00+08:00
EVT-000058,customs_delay,海关查验延误-天津-058,medium,59,合肥,SUP-001,MAT-0038,上海至东莞,168,monitoring,2025-06-25T23:00:00+08:00,2025-06-28T09:00:00+08:00,海关查验延误影响供应商、物料和运输路线，需评估库存、订单与替代供应。,2025-06-27T08:00:00+08:00
EVT-000059,customs_delay,海关查验延误-苏州-059,medium,54,青岛,SUP-028,MAT-0223,成都至东莞,12,resolved,2026-02-21T01:00:00+08:00,2026-02-22T21:00:00+08:00,海关查验延误影响供应商、物料和运输路线，需评估库存、订单与替代供应。,2026-02-21T15:00:00+08:00
EVT-000060,customs_delay,海关查验延误-杭州-060,critical,89,东莞,SUP-007,MAT-0231,东莞至成都,6,resolved,2025-07-26T02:00:00+08:00,2025-07-31T19:00:00+08:00,海关查验延误影响供应商、物料和运输路线，需评估库存、订单与替代供应。,2025-07-27T17:00:00+08:00
EVT-000061,power_shortage,区域限电-成都-061,medium,50,上海,SUP-050,MAT-0213,天津至成都,12,monitoring,2025-07-31T01:00:00+08:00,2025-08-03T21:00:00+08:00,区域限电影响供应商、物料和运输路线，需评估库存、订单与替代供应。,2025-08-02T03:00:00+08:00
EVT-000062,port_shutdown,港口停运-青岛-062,critical,96,天津,SUP-060,MAT-0112,天津至上海,24,monitoring,2026-05-05T06:00:00+08:00,2026-05-10T23:00:00+08:00,港口停运影响供应商、物料和运输路线，需评估库存、订单与替代供应。,2026-05-05T19:00:00+08:00
EVT-000063,supplier_shutdown,供应商停产-天津-063,medium,58,天津,SUP-055,MAT-0238,合肥至东莞,48,monitoring,2026-05-05T22:00:00+08:00,2026-05-14T17:00:00+08:00,供应商停产影响供应商、物料和运输路线，需评估库存、订单与替代供应。,2026-05-06T01:00:00+08:00
EVT-000064,quality_recall,质量召回-天津-064,medium,57,武汉,SUP-040,MAT-0074,天津至上海,12,resolved,2025-08-06T16:00:00+08:00,2025-08-13T20:00:00+08:00,质量召回影响供应商、物料和运输路线，需评估库存、订单与替代供应。,2025-08-07T05:00:00+08:00
EVT-000065,demand_surge,需求突增-青岛-065,high,83,武汉,SUP-008,MAT-0233,成都至上海,168,active,2026-06-10T03:00:00+08:00,,需求突增影响供应商、物料和运输路线，需评估库存、订单与替代供应。,2026-06-10T19:00:00+08:00
EVT-000066,port_shutdown,港口停运-青岛-066,low,47,宁波,SUP-044,MAT-0120,杭州至青岛,96,resolved,2026-01-10T07:00:00+08:00,2026-01-13T00:00:00+08:00,港口停运影响供应商、物料和运输路线，需评估库存、订单与替代供应。,2026-01-12T23:00:00+08:00
EVT-000067,quality_recall,质量召回-东莞-067,high,73,苏州,SUP-056,MAT-0203,武汉至合肥,12,resolved,2025-09-15T19:00:00+08:00,2025-09-16T22:00:00+08:00,质量召回影响供应商、物料和运输路线，需评估库存、订单与替代供应。,2025-09-16T08:00:00+08:00
EVT-000068,customs_delay,海关查验延误-武汉-068,high,73,宁波,SUP-023,MAT-0035,宁波至青岛,72,resolved,2025-07-07T04:00:00+08:00,2025-07-15T12:00:00+08:00,海关查验延误影响供应商、物料和运输路线，需评估库存、订单与替代供应。,2025-07-08T04:00:00+08:00
EVT-000069,power_shortage,区域限电-苏州-069,medium,55,东莞,SUP-002,MAT-0084,苏州至宁波,24,monitoring,2026-04-23T15:00:00+08:00,2026-04-25T07:00:00+08:00,区域限电影响供应商、物料和运输路线，需评估库存、订单与替代供应。,2026-04-24T22:00:00+08:00
EVT-000070,port_shutdown,港口停运-宁波-070,low,39,武汉,SUP-059,MAT-0016,青岛至成都,24,resolved,2026-03-30T21:00:00+08:00,2026-04-04T01:00:00+08:00,港口停运影响供应商、物料和运输路线，需评估库存、订单与替代供应。,2026-04-02T13:00:00+08:00
EVT-000071,quality_recall,质量召回-苏州-071,high,73,东莞,SUP-017,MAT-0034,东莞至上海,24,resolved,2025-09-05T14:00:00+08:00,2025-09-08T19:00:00+08:00,质量召回影响供应商、物料和运输路线，需评估库存、订单与替代供应。,2025-09-06T03:00:00+08:00
EVT-000072,port_shutdown,港口停运-东莞-072,critical,90,苏州,SUP-023,MAT-0193,宁波至上海,48,resolved,2025-09-15T20:00:00+08:00,2025-09-17T03:00:00+08:00,港口停运影响供应商、物料和运输路线，需评估库存、订单与替代供应。,2025-09-18T04:00:00+08:00
EVT-000073,quality_recall,质量召回-天津-073,low,40,苏州,SUP-016,MAT-0183,武汉至天津,6,escalated,2025-11-10T06:00:00+08:00,2025-11-17T01:00:00+08:00,质量召回影响供应商、物料和运输路线，需评估库存、订单与替代供应。,2025-11-12T04:00:00+08:00
EVT-000074,quality_recall,质量召回-成都-074,medium,50,杭州,SUP-035,MAT-0151,合肥至天津,72,resolved,2025-09-25T10:00:00+08:00,2025-09-29T07:00:00+08:00,质量召回影响供应商、物料和运输路线，需评估库存、订单与替代供应。,2025-09-27T18:00:00+08:00
EVT-000075,typhoon,台风天气-武汉-075,medium,65,合肥,SUP-056,MAT-0141,武汉至东莞,96,resolved,2025-09-26T12:00:00+08:00,2025-09-28T06:00:00+08:00,台风天气影响供应商、物料和运输路线，需评估库存、订单与替代供应。,2025-09-29T11:00:00+08:00
EVT-000076,customs_delay,海关查验延误-青岛-076,high,74,成都,SUP-016,MAT-0015,武汉至合肥,48,resolved,2025-07-04T22:00:00+08:00,2025-07-10T13:00:00+08:00,海关查验延误影响供应商、物料和运输路线，需评估库存、订单与替代供应。,2025-07-06T05:00:00+08:00
EVT-000077,supplier_shutdown,供应商停产-成都-077,high,83,青岛,SUP-046,MAT-0166,武汉至天津,96,resolved,2026-04-26T09:00:00+08:00,2026-05-05T11:00:00+08:00,供应商停产影响供应商、物料和运输路线，需评估库存、订单与替代供应。,2026-04-29T08:00:00+08:00
EVT-000078,customs_delay,海关查验延误-成都-078,medium,62,天津,SUP-021,MAT-0063,上海至天津,36,active,2026-01-05T11:00:00+08:00,2026-01-12T09:00:00+08:00,海关查验延误影响供应商、物料和运输路线，需评估库存、订单与替代供应。,2026-01-06T08:00:00+08:00
EVT-000079,customs_delay,海关查验延误-苏州-079,high,79,宁波,SUP-021,MAT-0141,上海至青岛,12,monitoring,2026-06-02T13:00:00+08:00,2026-06-10T10:00:00+08:00,海关查验延误影响供应商、物料和运输路线，需评估库存、订单与替代供应。,2026-06-04T19:00:00+08:00
EVT-000080,quality_recall,质量召回-武汉-080,medium,51,宁波,SUP-057,MAT-0168,东莞至武汉,48,monitoring,2025-12-08T03:00:00+08:00,2025-12-16T03:00:00+08:00,质量召回影响供应商、物料和运输路线，需评估库存、订单与替代供应。,2025-12-10T07:00:00+08:00
EVT-000081,port_shutdown,港口停运-杭州-081,medium,52,杭州,SUP-004,MAT-0034,杭州至天津,96,active,2025-11-06T01:00:00+08:00,2025-11-13T06:00:00+08:00,港口停运影响供应商、物料和运输路线，需评估库存、订单与替代供应。,2025-11-08T07:00:00+08:00
EVT-000082,quality_recall,质量召回-上海-082,medium,55,天津,SUP-020,MAT-0228,天津至武汉,36,active,2025-10-31T12:00:00+08:00,2025-11-02T16:00:00+08:00,质量召回影响供应商、物料和运输路线，需评估库存、订单与替代供应。,2025-11-02T17:00:00+08:00
EVT-000083,port_shutdown,港口停运-上海-083,medium,50,东莞,SUP-033,MAT-0095,宁波至东莞,6,resolved,2025-06-27T14:00:00+08:00,2025-07-06T21:00:00+08:00,港口停运影响供应商、物料和运输路线，需评估库存、订单与替代供应。,2025-06-30T08:00:00+08:00
EVT-000084,route_blockage,运输节点中断-合肥-084,medium,55,天津,SUP-001,MAT-0196,上海至合肥,48,resolved,2026-02-08T10:00:00+08:00,2026-02-12T14:00:00+08:00,运输节点中断影响供应商、物料和运输路线，需评估库存、订单与替代供应。,2026-02-09T01:00:00+08:00
EVT-000085,power_shortage,区域限电-东莞-085,high,72,上海,SUP-009,MAT-0196,青岛至宁波,48,monitoring,2025-11-01T06:00:00+08:00,2025-11-09T19:00:00+08:00,区域限电影响供应商、物料和运输路线，需评估库存、订单与替代供应。,2025-11-01T10:00:00+08:00
EVT-000086,typhoon,台风天气-天津-086,low,45,东莞,SUP-049,MAT-0087,青岛至苏州,168,resolved,2026-06-02T10:00:00+08:00,2026-06-12T03:00:00+08:00,台风天气影响供应商、物料和运输路线，需评估库存、订单与替代供应。,2026-06-05T04:00:00+08:00
EVT-000087,power_shortage,区域限电-武汉-087,high,72,上海,SUP-048,MAT-0183,成都至青岛,6,active,2025-12-05T01:00:00+08:00,2025-12-10T01:00:00+08:00,区域限电影响供应商、物料和运输路线，需评估库存、订单与替代供应。,2025-12-07T15:00:00+08:00
EVT-000088,port_shutdown,港口停运-天津-088,medium,62,青岛,SUP-034,MAT-0207,杭州至东莞,24,resolved,2025-11-22T01:00:00+08:00,2025-11-27T00:00:00+08:00,港口停运影响供应商、物料和运输路线，需评估库存、订单与替代供应。,2025-11-22T05:00:00+08:00
EVT-000089,power_shortage,区域限电-东莞-089,medium,66,苏州,SUP-013,MAT-0206,宁波至成都,36,monitoring,2026-03-26T13:00:00+08:00,2026-03-31T20:00:00+08:00,区域限电影响供应商、物料和运输路线，需评估库存、订单与替代供应。,2026-03-28T12:00:00+08:00
EVT-000090,port_shutdown,港口停运-武汉-090,critical,88,东莞,SUP-046,MAT-0056,武汉至天津,96,resolved,2025-11-02T00:00:00+08:00,2025-11-10T14:00:00+08:00,港口停运影响供应商、物料和运输路线，需评估库存、订单与替代供应。,2025-11-03T22:00:00+08:00
EVT-000091,customs_delay,海关查验延误-杭州-091,medium,63,苏州,SUP-028,MAT-0181,成都至天津,36,resolved,2026-01-21T13:00:00+08:00,2026-01-29T14:00:00+08:00,海关查验延误影响供应商、物料和运输路线，需评估库存、订单与替代供应。,2026-01-22T09:00:00+08:00
EVT-000092,typhoon,台风天气-合肥-092,low,48,成都,SUP-003,MAT-0107,宁波至杭州,12,escalated,2026-06-02T04:00:00+08:00,2026-06-05T16:00:00+08:00,台风天气影响供应商、物料和运输路线，需评估库存、订单与替代供应。,2026-06-03T16:00:00+08:00
EVT-000093,demand_surge,需求突增-青岛-093,low,27,合肥,SUP-016,MAT-0088,武汉至成都,168,resolved,2025-11-09T00:00:00+08:00,2025-11-12T09:00:00+08:00,需求突增影响供应商、物料和运输路线，需评估库存、订单与替代供应。,2025-11-09T04:00:00+08:00
EVT-000094,customs_delay,海关查验延误-苏州-094,low,49,苏州,SUP-060,MAT-0134,天津至苏州,36,active,2025-09-24T08:00:00+08:00,2025-09-25T20:00:00+08:00,海关查验延误影响供应商、物料和运输路线，需评估库存、订单与替代供应。,2025-09-26T12:00:00+08:00
EVT-000095,demand_surge,需求突增-武汉-095,high,73,青岛,SUP-029,MAT-0031,青岛至合肥,12,resolved,2025-11-23T14:00:00+08:00,2025-11-29T23:00:00+08:00,需求突增影响供应商、物料和运输路线，需评估库存、订单与替代供应。,2025-11-25T07:00:00+08:00
EVT-000096,supplier_shutdown,供应商停产-武汉-096,high,78,上海,SUP-025,MAT-0166,合肥至东莞,6,resolved,2026-02-22T02:00:00+08:00,2026-02-27T09:00:00+08:00,供应商停产影响供应商、物料和运输路线，需评估库存、订单与替代供应。,2026-02-24T16:00:00+08:00
