case_id,event_id,scenario,selected_strategy,predicted_delay_hours,actual_delay_hours,predicted_cost,actual_cost,covered_demand_rate,production_downtime_hours,lost_orders,customer_complaints,outcome_status,human_rating,lessons_learned,model_version,parameter_version,created_at
CASE-000044,EVT-000165,质量召回-青岛-165,接受短期停线+控制现金成本,12,17.66,632515.46,1000616.57,0.5385,46,2,17,failed,2,优先保障A级客户，并同时验证备用供应商产能、质量与运输可用性。,demo-rule-v1,expert-2026-06,2025-08-07T08:00:00+08:00
CASE-000045,EVT-000195,区域限电-杭州-195,关键订单空运+备用供应商补货,36,19.32,154016.91,165066.94,1.0,7,0,0,success,5,优先保障A级客户，并同时验证备用供应商产能、质量与运输可用性。,demo-rule-v1,expert-2026-06,2026-04-26T08:00:00+08:00
CASE-000046,EVT-000051,区域限电-合肥-051,铁路替代+延期交付,6,4.03,511221.34,582528.04,0.8317,0,0,6,success,3,优先保障A级客户，并同时验证备用供应商产能、质量与运输可用性。,demo-rule-v1,expert-2026-06,2025-08-14T08:00:00+08:00
CASE-000047,EVT-000104,需求突增-成都-104,紧急采购+生产计划调整,6,7.08,64430.12,86760.68,0.7532,31,3,12,partial_success,4,优先保障A级客户，并同时验证备用供应商产能、质量与运输可用性。,demo-rule-v1,expert-2026-06,2026-05-19T08:00:00+08:00
CASE-000048,EVT-000004,供应商停产-东莞-004,接受短期停线+控制现金成本,6,9.18,618315.9,796668.8,0.52,29,3,12,success,4,优先保障A级客户，并同时验证备用供应商产能、质量与运输可用性。,demo-rule-v1,expert-2026-06,2025-10-14T08:00:00+08:00
CASE-000049,EVT-000028,运输节点中断-苏州-028,接受短期停线+控制现金成本,6,4.87,537129.76,533138.97,0.8431,5,0,0,success,5,优先保障A级客户，并同时验证备用供应商产能、质量与运输可用性。,demo-rule-v1,expert-2026-06,2025-08-25T08:00:00+08:00
CASE-000050,EVT-000211,需求突增-杭州-211,紧急采购+生产计划调整,72,114.97,234319.85,344298.41,0.52,9,3,14,partial_success,3,优先保障A级客户，并同时验证备用供应商产能、质量与运输可用性。,demo-rule-v1,expert-2026-06,2025-09-16T08:00:00+08:00
CASE-000051,EVT-000203,需求突增-天津-203,关键订单空运+备用供应商补货,12,11.58,143409.33,181460.97,0.7861,21,1,6,success,4,优先保障A级客户，并同时验证备用供应商产能、质量与运输可用性。,demo-rule-v1,expert-2026-06,2026-06-09T08:00:00+08:00
CASE-000052,EVT-000048,区域限电-青岛-048,双供应商分单+安全库存锁定,12,13.98,342277.03,415291.06,0.6579,24,3,21,failed,2,优先保障A级客户，并同时验证备用供应商产能、质量与运输可用性。,demo-rule-v1,expert-2026-06,2025-11-04T08:00:00+08:00
CASE-000053,EVT-000198,供应商停产-青岛-198,紧急采购+生产计划调整,24,47.05,650099.68,880233.61,0.6571,24,3,11,partial_success,4,优先保障A级客户，并同时验证备用供应商产能、质量与运输可用性。,demo-rule-v1,expert-2026-06,2025-09-27T08:00:00+08:00
CASE-000054,EVT-000161,区域限电-青岛-161,紧急采购+生产计划调整,48,82.74,222306.3,268641.18,0.6554,24,4,17,failed,3,优先保障A级客户，并同时验证备用供应商产能、质量与运输可用性。,demo-rule-v1,expert-2026-06,2025-10-28T08:00:00+08:00
CASE-000055,EVT-000026,区域限电-青岛-026,接受短期停线+控制现金成本,72,60.25,876755.47,866327.73,0.88,20,3,9,success,3,优先保障A级客户，并同时验证备用供应商产能、质量与运输可用性。,demo-rule-v1,expert-2026-06,2025-10-26T08:00:00+08:00
CASE-000056,EVT-000206,港口停运-成都-206,双供应商分单+安全库存锁定,6,5.7,454594.51,365913.09,0.848,11,1,3,success,5,优先保障A级客户，并同时验证备用供应商产能、质量与运输可用性。,demo-rule-v1,expert-2026-06,2026-02-10T08:00:00+08:00
CASE-000057,EVT-000078,海关查验延误-成都-078,关键订单空运+备用供应商补货,36,38.78,326891.97,393818.21,0.7099,20,3,19,failed,3,优先保障A级客户，并同时验证备用供应商产能、质量与运输可用性。,demo-rule-v1,expert-2026-06,2025-08-04T08:00:00+08:00
CASE-000058,EVT-000193,区域限电-宁波-193,双供应商分单+安全库存锁定,6,8.03,388464.61,437674.75,0.6534,37,3,17,failed,3,优先保障A级客户，并同时验证备用供应商产能、质量与运输可用性。,demo-rule-v1,expert-2026-06,2026-04-18T08:00:00+08:00
CASE-000059,EVT-000221,运输节点中断-武汉-221,关键订单空运+备用供应商补货,24,44.54,873794.73,1108323.48,0.6094,39,4,16,failed,4,优先保障A级客户，并同时验证备用供应商产能、质量与运输可用性。,demo-rule-v1,expert-2026-06,2026-02-23T08:00:00+08:00
CASE-000060,EVT-000122,区域限电-上海-122,铁路替代+延期交付,6,8.4,427784.37,601984.95,0.6197,32,2,16,partial_success,3,优先保障A级客户，并同时验证备用供应商产能、质量与运输可用性。,demo-rule-v1,expert-2026-06,2026-06-13T08:00:00+08:00
CASE-000061,EVT-000157,质量召回-宁波-157,铁路替代+延期交付,24,39.92,244988.55,294713.18,0.7486,30,3,13,partial_success,3,优先保障A级客户，并同时验证备用供应商产能、质量与运输可用性。,demo-rule-v1,expert-2026-06,2025-11-27T08:00:00+08:00
CASE-000062,EVT-000024,质量召回-青岛-024,双供应商分单+安全库存锁定,48,35.87,875657.01,811576.66,0.8877,0,1,5,partial_success,4,优先保障A级客户，并同时验证备用供应商产能、质量与运输可用性。,demo-rule-v1,expert-2026-06,2025-07-26T08:00:00+08:00
CASE-000063,EVT-000030,供应商停产-武汉-030,关键订单空运+备用供应商补货,72,73.5,170872.55,234259.05,0.724,36,2,10,success,5,优先保障A级客户，并同时验证备用供应商产能、质量与运输可用性。,demo-rule-v1,expert-2026-06,2025-11-27T08:00:00+08:00
CASE-000064,EVT-000022,质量召回-成都-022,接受短期停线+控制现金成本,36,49.74,483477.73,711703.84,0.5852,22,1,10,success,5,优先保障A级客户，并同时验证备用供应商产能、质量与运输可用性。,demo-rule-v1,expert-2026-06,2025-08-06T08:00:00+08:00
CASE-000065,EVT-000003,台风天气-成都-003,铁路替代+延期交付,48,64.69,119011.23,102967.1,0.7244,15,2,6,success,4,优先保障A级客户，并同时验证备用供应商产能、质量与运输可用性。,demo-rule-v1,expert-2026-06,2026-01-26T08:00:00+08:00
CASE-000066,EVT-000146,海关查验延误-合肥-146,紧急采购+生产计划调整,72,64.89,90307.27,93300.84,0.8873,27,2,10,partial_success,3,优先保障A级客户，并同时验证备用供应商产能、质量与运输可用性。,demo-rule-v1,expert-2026-06,2025-10-02T08:00:00+08:00
CASE-000067,EVT-000018,台风天气-东莞-018,紧急采购+生产计划调整,36,20.06,853726.47,663651.96,0.822,15,1,3,success,3,优先保障A级客户，并同时验证备用供应商产能、质量与运输可用性。,demo-rule-v1,expert-2026-06,2025-09-11T08:00:00+08:00
CASE-000068,EVT-000203,需求突增-天津-203,铁路替代+延期交付,6,5.67,219026.87,199444.32,0.7569,10,0,5,success,5,优先保障A级客户，并同时验证备用供应商产能、质量与运输可用性。,demo-rule-v1,expert-2026-06,2026-05-31T08:00:00+08:00
CASE-000069,EVT-000214,区域限电-宁波-214,库存重分配+客户分级沟通,12,14.88,475292.61,500419.49,0.617,10,1,9,success,4,优先保障A级客户，并同时验证备用供应商产能、质量与运输可用性。,demo-rule-v1,expert-2026-06,2026-03-31T08:00:00+08:00
CASE-000070,EVT-000128,运输节点中断-上海-128,铁路替代+延期交付,6,4.24,861954.88,902338.51,1.0,12,0,2,success,5,优先保障A级客户，并同时验证备用供应商产能、质量与运输可用性。,demo-rule-v1,expert-2026-06,2025-09-26T08:00:00+08:00
CASE-000071,EVT-000021,运输节点中断-上海-021,铁路替代+延期交付,24,28.17,847340.9,757204.33,0.7992,20,2,10,success,5,优先保障A级客户，并同时验证备用供应商产能、质量与运输可用性。,demo-rule-v1,expert-2026-06,2025-08-17T08:00:00+08:00
CASE-000072,EVT-000124,区域限电-上海-124,双供应商分单+安全库存锁定,72,31.24,481467.67,202216.42,0.8823,6,0,1,success,3,优先保障A级客户，并同时验证备用供应商产能、质量与运输可用性。,demo-rule-v1,expert-2026-06,2026-01-02T08:00:00+08:00
CASE-000073,EVT-000191,台风天气-合肥-191,铁路替代+延期交付,24,31.68,735423.69,998643.19,0.7434,24,1,8,success,4,优先保障A级客户，并同时验证备用供应商产能、质量与运输可用性。,demo-rule-v1,expert-2026-06,2026-04-06T08:00:00+08:00
CASE-000074,EVT-000235,供应商停产-苏州-235,紧急采购+生产计划调整,24,15.42,553631.42,512538.87,0.8087,16,2,13,failed,1,优先保障A级客户，并同时验证备用供应商产能、质量与运输可用性。,demo-rule-v1,expert-2026-06,2026-06-05T08:00:00+08:00
CASE-000075,EVT-000069,区域限电-苏州-069,铁路替代+延期交付,6,9.74,428865.71,417890.11,0.5864,26,3,18,failed,2,优先保障A级客户，并同时验证备用供应商产能、质量与运输可用性。,demo-rule-v1,expert-2026-06,2026-02-25T08:00:00+08:00
CASE-000076,EVT-000076,海关查验延误-青岛-076,紧急采购+生产计划调整,72,42.78,64100.82,51280.53,0.966,14,0,3,success,4,优先保障A级客户，并同时验证备用供应商产能、质量与运输可用性。,demo-rule-v1,expert-2026-06,2026-02-13T08:00:00+08:00
CASE-000077,EVT-000164,需求突增-天津-164,铁路替代+延期交付,36,44.1,804892.78,864879.01,0.6764,25,0,0,success,4,优先保障A级客户，并同时验证备用供应商产能、质量与运输可用性。,demo-rule-v1,expert-2026-06,2026-02-18T08:00:00+08:00
CASE-000078,EVT-000202,台风天气-武汉-202,关键订单空运+备用供应商补货,6,7.79,174802.77,189729.93,0.5508,9,3,17,partial_success,3,优先保障A级客户，并同时验证备用供应商产能、质量与运输可用性。,demo-rule-v1,expert-2026-06,2025-10-06T08:00:00+08:00
CASE-000079,EVT-000126,运输节点中断-杭州-126,紧急采购+生产计划调整,24,18.26,560729.64,604580.58,0.9584,0,1,0,success,5,优先保障A级客户，并同时验证备用供应商产能、质量与运输可用性。,demo-rule-v1,expert-2026-06,2026-02-16T08:00:00+08:00
CASE-000080,EVT-000081,港口停运-杭州-081,接受短期停线+控制现金成本,24,34.21,712717.24,824279.92,0.7966,25,2,12,partial_success,4,优先保障A级客户，并同时验证备用供应商产能、质量与运输可用性。,demo-rule-v1,expert-2026-06,2025-07-10T08:00:00+08:00
CASE-000081,EVT-000083,港口停运-上海-083,关键订单空运+备用供应商补货,48,39.6,590653.81,569874.07,0.83,10,1,5,success,5,优先保障A级客户，并同时验证备用供应商产能、质量与运输可用性。,demo-rule-v1,expert-2026-06,2026-01-06T08:00:00+08:00
CASE-000082,EVT-000115,区域限电-东莞-115,铁路替代+延期交付,36,18.77,44952.25,41090.09,0.9324,7,0,0,success,5,优先保障A级客户，并同时验证备用供应商产能、质量与运输可用性。,demo-rule-v1,expert-2026-06,2025-11-15T08:00:00+08:00
CASE-000083,EVT-000054,运输节点中断-成都-054,库存重分配+客户分级沟通,72,36.54,200965.28,190541.75,0.8983,0,0,0,success,3,优先保障A级客户，并同时验证备用供应商产能、质量与运输可用性。,demo-rule-v1,expert-2026-06,2026-03-07T08:00:00+08:00
CASE-000084,EVT-000229,台风天气-合肥-229,双供应商分单+安全库存锁定,24,25.65,373536.34,385988.21,0.675,26,1,7,success,5,优先保障A级客户，并同时验证备用供应商产能、质量与运输可用性。,demo-rule-v1,expert-2026-06,2025-12-06T08:00:00+08:00
CASE-000085,EVT-000179,需求突增-青岛-179,铁路替代+延期交付,36,60.31,411173.67,510075.79,0.541,23,3,15,failed,2,优先保障A级客户，并同时验证备用供应商产能、质量与运输可用性。,demo-rule-v1,expert-2026-06,2025-08-23T08:00:00+08:00
CASE-000086,EVT-000041,海关查验延误-武汉-041,接受短期停线+控制现金成本,72,48.56,661134.81,543530.77,0.8325,14,0,4,success,5,优先保障A级客户，并同时验证备用供应商产能、质量与运输可用性。,demo-rule-v1,expert-2026-06,2026-05-07T08:00:00+08:00
CASE-000087,EVT-000158,区域限电-青岛-158,双供应商分单+安全库存锁定,12,13.33,525161.98,609234.03,0.8159,25,3,7,partial_success,4,优先保障A级客户，并同时验证备用供应商产能、质量与运输可用性。,demo-rule-v1,expert-2026-06,2025-07-12T08:00:00+08:00
CASE-000088,EVT-000167,海关查验延误-上海-167,关键订单空运+备用供应商补货,72,105.76,164077.46,219169.96,0.6145,37,4,16,failed,3,优先保障A级客户，并同时验证备用供应商产能、质量与运输可用性。,demo-rule-v1,expert-2026-06,2025-08-24T08:00:00+08:00
CASE-000089,EVT-000050,海关查验延误-上海-050,库存重分配+客户分级沟通,72,44.22,831669.82,785726.33,0.9048,25,3,13,failed,3,优先保障A级客户，并同时验证备用供应商产能、质量与运输可用性。,demo-rule-v1,expert-2026-06,2026-01-10T08:00:00+08:00
CASE-000090,EVT-000200,港口停运-苏州-200,紧急采购+生产计划调整,24,17.9,513442.84,452918.06,0.7526,11,3,7,partial_success,3,优先保障A级客户，并同时验证备用供应商产能、质量与运输可用性。,demo-rule-v1,expert-2026-06,2026-03-16T08:00:00+08:00
CASE-000091,EVT-000162,运输节点中断-天津-162,铁路替代+延期交付,6,6.43,861136.2,835793.15,0.6745,26,3,21,failed,1,优先保障A级客户，并同时验证备用供应商产能、质量与运输可用性。,demo-rule-v1,expert-2026-06,2025-12-22T08:00:00+08:00
CASE-000092,EVT-000007,需求突增-成都-007,双供应商分单+安全库存锁定,12,11.98,270053.13,328569.31,0.8582,20,1,4,success,4,优先保障A级客户，并同时验证备用供应商产能、质量与运输可用性。,demo-rule-v1,expert-2026-06,2025-12-23T08:00:00+08:00
CASE-000093,EVT-000115,区域限电-东莞-115,关键订单空运+备用供应商补货,48,105.08,628328.17,1252348.51,0.52,26,3,17,failed,3,优先保障A级客户，并同时验证备用供应商产能、质量与运输可用性。,demo-rule-v1,expert-2026-06,2025-11-09T08:00:00+08:00
CASE-000094,EVT-000092,台风天气-合肥-092,铁路替代+延期交付,72,93.08,179705.78,235181.12,0.7688,12,0,3,success,3,优先保障A级客户，并同时验证备用供应商产能、质量与运输可用性。,demo-rule-v1,expert-2026-06,2026-03-21T08:00:00+08:00
CASE-000095,EVT-000044,海关查验延误-东莞-044,双供应商分单+安全库存锁定,36,35.43,305165.12,301788.65,0.6655,38,2,17,partial_success,2,优先保障A级客户，并同时验证备用供应商产能、质量与运输可用性。,demo-rule-v1,expert-2026-06,2026-05-04T08:00:00+08:00
CASE-000096,EVT-000227,供应商停产-上海-227,双供应商分单+安全库存锁定,24,30.01,718186.3,775925.32,0.6437,36,3,12,partial_success,2,优先保障A级客户，并同时验证备用供应商产能、质量与运输可用性。,demo-rule-v1,expert-2026-06,2026-03-11T08:00:00+08:00
CASE-000097,EVT-000128,运输节点中断-上海-128,双供应商分单+安全库存锁定,12,18.88,489932.83,724899.56,0.52,47,4,15,failed,2,优先保障A级客户，并同时验证备用供应商产能、质量与运输可用性。,demo-rule-v1,expert-2026-06,2025-08-31T08:00:00+08:00
CASE-000098,EVT-000201,质量召回-宁波-201,库存重分配+客户分级沟通,72,144.79,311584.71,572633.04,0.52,46,3,18,failed,2,优先保障A级客户，并同时验证备用供应商产能、质量与运输可用性。,demo-rule-v1,expert-2026-06,2026-05-15T08:00:00+08:00
CASE-000099,EVT-000154,运输节点中断-成都-154,铁路替代+延期交付,12,15.08,674065.56,763781.94,0.52,38,3,15,failed,3,优先保障A级客户，并同时验证备用供应商产能、质量与运输可用性。,demo-rule-v1,expert-2026-06,2026-05-17T08:00:00+08:00
CASE-000100,EVT-000062,港口停运-青岛-062,铁路替代+延期交付,12,15.99,313927.47,281943.75,0.8516,17,0,2,success,4,优先保障A级客户，并同时验证备用供应商产能、质量与运输可用性。,demo-rule-v1,expert-2026-06,2025-07-03T08:00:00+08:00
