customer_id,customer_name,industry,customer_level,credit_limit,payment_terms_days,sla_hours,penalty_rate,region,status,updated_at
CUS-0022,东莞客户企业0022,工业自动化,B,285083.92,60,72,0.018,武汉,active,2026-05-24T08:00:00+08:00
CUS-0023,宁波客户企业0023,轨道交通,A,3435982.98,15,48,0.035,青岛,active,2026-06-15T08:00:00+08:00
CUS-0024,杭州客户企业0024,工业自动化,B,5985079.86,45,72,0.018,合肥,active,2026-05-16T08:00:00+08:00
CUS-0025,东莞客户企业0025,汽车零部件,B,6050018.43,90,72,0.018,东莞,active,2026-06-05T08:00:00+08:00
CUS-0026,上海客户企业0026,汽车零部件,B,1179842.51,0,72,0.018,天津,active,2026-05-25T08:00:00+08:00
CUS-0027,杭州客户企业0027,汽车零部件,B,3794072.15,90,72,0.018,合肥,active,2026-06-04T08:00:00+08:00
CUS-0028,武汉客户企业0028,汽车零部件,B,2626446.42,30,72,0.018,成都,active,2026-05-21T08:00:00+08:00
CUS-0029,合肥客户企业0029,新能源,B,2946448.58,60,72,0.018,武汉,active,2026-05-30T08:00:00+08:00
CUS-0030,天津客户企业0030,医疗设备,B,405309.67,45,72,0.018,上海,active,2026-06-04T08:00:00+08:00
CUS-0031,天津客户企业0031,新能源,C,4920382.5,0,120,0.008,青岛,active,2026-06-01T08:00:00+08:00
CUS-0032,东莞客户企业0032,工业自动化,A,6475597.48,60,48,0.035,苏州,active,2026-06-09T08:00:00+08:00
CUS-0033,武汉客户企业0033,医疗设备,B,6435542.55,0,72,0.018,青岛,active,2026-05-31T08:00:00+08:00
CUS-0034,苏州客户企业0034,汽车零部件,A,894587.46,45,48,0.035,天津,active,2026-05-22T08:00:00+08:00
CUS-0035,上海客户企业0035,轨道交通,C,5778885.67,90,120,0.008,武汉,active,2026-05-22T08:00:00+08:00
CUS-0036,杭州客户企业0036,轨道交通,B,3292886.92,45,72,0.018,成都,active,2026-05-28T08:00:00+08:00
CUS-0037,青岛客户企业0037,汽车零部件,C,2252376.76,60,120,0.008,杭州,active,2026-05-30T08:00:00+08:00
CUS-0038,苏州客户企业0038,新能源,C,7731170.69,0,120,0.008,宁波,active,2026-06-09T08:00:00+08:00
CUS-0039,宁波客户企业0039,医疗设备,B,300793.89,60,72,0.018,武汉,active,2026-05-25T08:00:00+08:00
CUS-0040,青岛客户企业0040,消费电子,C,2653810.24,30,120,0.008,合肥,active,2026-06-12T08:00:00+08:00
CUS-0041,上海客户企业0041,轨道交通,B,7530246.62,30,72,0.018,成都,active,2026-05-23T08:00:00+08:00
CUS-0042,宁波客户企业0042,消费电子,A,1935471.94,60,48,0.035,东莞,active,2026-05-18T08:00:00+08:00
CUS-0043,武汉客户企业0043,汽车零部件,C,5294740.56,90,120,0.008,武汉,active,2026-06-10T08:00:00+08:00
CUS-0044,天津客户企业0044,工业自动化,B,4856684.14,60,72,0.018,宁波,active,2026-05-17T08:00:00+08:00
CUS-0045,天津客户企业0045,汽车零部件,B,4115199.62,30,72,0.018,成都,active,2026-05-20T08:00:00+08:00
CUS-0046,苏州客户企业0046,工业自动化,B,6681862.86,45,72,0.018,青岛,active,2026-05-26T08:00:00+08:00
CUS-0047,成都客户企业0047,汽车零部件,B,4306644.55,60,72,0.018,东莞,active,2026-06-10T08:00:00+08:00
CUS-0048,宁波客户企业0048,工业自动化,A,4403419.86,30,48,0.035,上海,active,2026-05-30T08:00:00+08:00
CUS-0049,武汉客户企业0049,消费电子,C,7517546.26,0,120,0.008,东莞,active,2026-06-04T08:00:00+08:00
CUS-0050,宁波客户企业0050,轨道交通,B,3066078.61,30,72,0.018,上海,active,2026-05-31T08:00:00+08:00
CUS-0051,上海客户企业0051,轨道交通,C,4387012.05,60,120,0.008,武汉,active,2026-06-04T08:00:00+08:00
CUS-0052,东莞客户企业0052,工业自动化,C,3964698.99,45,120,0.008,上海,active,2026-06-13T08:00:00+08:00
CUS-0053,杭州客户企业0053,医疗设备,B,7038508.34,60,72,0.018,成都,active,2026-06-09T08:00:00+08:00
CUS-0054,合肥客户企业0054,消费电子,C,3693058.16,30,120,0.008,青岛,active,2026-05-24T08:00:00+08:00
CUS-0055,上海客户企业0055,汽车零部件,C,4597218.3,90,120,0.008,上海,active,2026-05-30T08:00:00+08:00
CUS-0056,成都客户企业0056,轨道交通,B,213162.7,30,72,0.018,成都,active,2026-05-22T08:00:00+08:00
CUS-0057,东莞客户企业0057,轨道交通,C,2119234.32,90,120,0.008,成都,active,2026-05-21T08:00:00+08:00
CUS-0058,合肥客户企业0058,消费电子,C,2806672.1,30,120,0.008,苏州,active,2026-06-14T08:00:00+08:00
CUS-0059,青岛客户企业0059,医疗设备,C,6665674.1,60,120,0.008,天津,active,2026-05-26T08:00:00+08:00
CUS-0060,青岛客户企业0060,工业自动化,B,1124423.68,15,72,0.018,上海,active,2026-06-08T08:00:00+08:00
CUS-0061,东莞客户企业0061,轨道交通,B,7788097.0,90,72,0.018,上海,active,2026-06-12T08:00:00+08:00
CUS-0062,宁波客户企业0062,工业自动化,B,518590.94,30,72,0.018,苏州,active,2026-06-05T08:00:00+08:00
CUS-0063,天津客户企业0063,消费电子,B,5707287.63,60,72,0.018,杭州,active,2026-05-19T08:00:00+08:00
CUS-0064,成都客户企业0064,工业自动化,C,3510660.33,90,120,0.008,东莞,active,2026-06-07T08:00:00+08:00
CUS-0065,武汉客户企业0065,汽车零部件,A,6619885.22,60,48,0.035,宁波,active,2026-06-04T08:00:00+08:00
CUS-0066,苏州客户企业0066,工业自动化,A,2587283.84,45,48,0.035,青岛,active,2026-05-31T08:00:00+08:00
CUS-0067,苏州客户企业0067,汽车零部件,B,5867405.07,30,72,0.018,青岛,active,2026-06-10T08:00:00+08:00
CUS-0068,东莞客户企业0068,汽车零部件,A,7671862.27,30,48,0.035,成都,active,2026-05-31T08:00:00+08:00
CUS-0069,苏州客户企业0069,工业自动化,A,2198066.39,30,48,0.035,宁波,active,2026-06-09T08:00:00+08:00
CUS-0070,杭州客户企业0070,轨道交通,A,428548.6,90,48,0.035,苏州,active,2026-06-06T08:00:00+08:00
CUS-0071,上海客户企业0071,新能源,C,7087338.61,60,120,0.008,杭州,active,2026-06-02T08:00:00+08:00
CUS-0072,武汉客户企业0072,消费电子,B,4355656.87,90,72,0.018,天津,active,2026-05-29T08:00:00+08:00
CUS-0073,成都客户企业0073,轨道交通,C,4877855.59,0,120,0.008,成都,active,2026-05-21T08:00:00+08:00
CUS-0074,宁波客户企业0074,消费电子,C,2905504.98,30,120,0.008,苏州,active,2026-06-11T08:00:00+08:00
CUS-0075,合肥客户企业0075,轨道交通,C,7429130.18,60,120,0.008,成都,active,2026-05-20T08:00:00+08:00
CUS-0076,宁波客户企业0076,新能源,B,6507886.16,30,72,0.018,杭州,active,2026-06-15T08:00:00+08:00
CUS-0077,青岛客户企业0077,工业自动化,B,7572236.41,15,72,0.018,东莞,active,2026-05-30T08:00:00+08:00
CUS-0078,成都客户企业0078,汽车零部件,B,7411248.92,90,72,0.018,武汉,active,2026-05-22T08:00:00+08:00
CUS-0079,东莞客户企业0079,工业自动化,C,3200240.85,90,120,0.008,东莞,active,2026-05-27T08:00:00+08:00
CUS-0080,青岛客户企业0080,工业自动化,B,7084197.66,45,72,0.018,武汉,active,2026-06-03T08:00:00+08:00
CUS-0081,东莞客户企业0081,医疗设备,B,7648410.92,0,72,0.018,天津,active,2026-05-23T08:00:00+08:00
CUS-0082,天津客户企业0082,消费电子,C,4217881.93,45,120,0.008,武汉,active,2026-05-27T08:00:00+08:00
CUS-0083,武汉客户企业0083,工业自动化,B,7373319.27,30,72,0.018,苏州,active,2026-06-04T08:00:00+08:00
CUS-0084,东莞客户企业0084,新能源,C,6129271.38,15,120,0.008,合肥,active,2026-06-11T08:00:00+08:00
CUS-0085,合肥客户企业0085,消费电子,B,5818201.85,15,72,0.018,青岛,active,2026-05-25T08:00:00+08:00
CUS-0086,上海客户企业0086,消费电子,B,7215136.87,45,72,0.018,青岛,active,2026-06-05T08:00:00+08:00
CUS-0087,杭州客户企业0087,轨道交通,B,7073065.7,60,72,0.018,天津,active,2026-06-05T08:00:00+08:00
CUS-0088,武汉客户企业0088,工业自动化,A,3543420.13,30,48,0.035,武汉,active,2026-06-12T08:00:00+08:00
CUS-0089,上海客户企业0089,消费电子,B,6503944.81,15,72,0.018,宁波,active,2026-06-10T08:00:00+08:00
CUS-0090,合肥客户企业0090,新能源,B,4395382.65,60,72,0.018,天津,active,2026-05-26T08:00:00+08:00
CUS-0091,天津客户企业0091,医疗设备,A,3864686.96,60,48,0.035,上海,active,2026-05-30T08:00:00+08:00
CUS-0092,青岛客户企业0092,新能源,B,514637.41,0,72,0.018,苏州,active,2026-06-09T08:00:00+08:00
CUS-0093,杭州客户企业0093,医疗设备,A,557191.26,60,48,0.035,武汉,active,2026-06-13T08:00:00+08:00
CUS-0094,杭州客户企业0094,轨道交通,C,3795868.48,60,120,0.008,宁波,active,2026-05-17T08:00:00+08:00
CUS-0095,宁波客户企业0095,新能源,B,3298046.19,90,72,0.018,苏州,active,2026-06-12T08:00:00+08:00
CUS-0096,天津客户企业0096,轨道交通,C,1596923.24,15,120,0.008,苏州,active,2026-05-26T08:00:00+08:00
CUS-0097,青岛客户企业0097,轨道交通,B,6830648.44,45,72,0.018,杭州,active,2026-06-03T08:00:00+08:00
CUS-0098,合肥客户企业0098,新能源,C,1047862.2,0,120,0.008,青岛,active,2026-06-01T08:00:00+08:00
CUS-0099,东莞客户企业0099,轨道交通,B,5319036.88,0,72,0.018,武汉,active,2026-05-16T08:00:00+08:00
CUS-0100,杭州客户企业0100,轨道交通,B,2284154.15,0,72,0.018,成都,active,2026-05-31T08:00:00+08:00
CUS-0101,东莞客户企业0101,轨道交通,C,1054563.18,90,120,0.008,武汉,active,2026-06-12T08:00:00+08:00
CUS-0102,青岛客户企业0102,医疗设备,A,1002620.4,60,48,0.035,青岛,active,2026-06-07T08:00:00+08:00
CUS-0103,青岛客户企业0103,工业自动化,B,3424849.23,90,72,0.018,宁波,active,2026-05-24T08:00:00+08:00
CUS-0104,青岛客户企业0104,轨道交通,C,829681.72,0,120,0.008,武汉,active,2026-06-01T08:00:00+08:00
CUS-0105,成都客户企业0105,新能源,C,2343297.49,60,120,0.008,成都,active,2026-05-29T08:00:00+08:00
CUS-0106,武汉客户企业0106,汽车零部件,A,651468.29,60,48,0.035,天津,active,2026-06-15T08:00:00+08:00
CUS-0107,青岛客户企业0107,消费电子,B,4641721.67,45,72,0.018,成都,active,2026-05-22T08:00:00+08:00
CUS-0108,上海客户企业0108,汽车零部件,B,1105729.07,60,72,0.018,上海,active,2026-05-26T08:00:00+08:00
CUS-0109,杭州客户企业0109,消费电子,C,7011358.12,90,120,0.008,东莞,active,2026-05-30T08:00:00+08:00
CUS-0110,成都客户企业0110,轨道交通,B,6156857.49,0,72,0.018,成都,active,2026-05-23T08:00:00+08:00
CUS-0111,苏州客户企业0111,轨道交通,C,1678946.74,90,120,0.008,上海,active,2026-05-21T08:00:00+08:00
CUS-0112,合肥客户企业0112,轨道交通,C,6625218.33,0,120,0.008,宁波,active,2026-05-22T08:00:00+08:00
CUS-0113,青岛客户企业0113,医疗设备,B,7544928.8,60,72,0.018,天津,active,2026-05-21T08:00:00+08:00
CUS-0114,武汉客户企业0114,汽车零部件,B,5037078.17,0,72,0.018,苏州,active,2026-05-21T08:00:00+08:00
CUS-0115,上海客户企业0115,汽车零部件,C,4304409.2,60,120,0.008,东莞,active,2026-06-10T08:00:00+08:00
CUS-0116,东莞客户企业0116,汽车零部件,C,5815827.36,60,120,0.008,合肥,active,2026-06-12T08:00:00+08:00
CUS-0117,成都客户企业0117,新能源,C,4453781.65,45,120,0.008,苏州,active,2026-06-08T08:00:00+08:00
CUS-0118,宁波客户企业0118,新能源,C,7214164.37,15,120,0.008,上海,active,2026-06-13T08:00:00+08:00
CUS-0119,杭州客户企业0119,消费电子,B,1910584.88,15,72,0.018,苏州,active,2026-05-27T08:00:00+08:00
CUS-0120,合肥客户企业0120,汽车零部件,B,5543407.43,90,72,0.018,青岛,active,2026-05-17T08:00:00+08:00
